survida,survidn,survproglab,survprogname,sampframe,wbid,unid,unidyear,wbidyear,year,wave,survversion,RegionUN,sampsize,Region5,Region6,Region7,Region10,continent,module,collectmode,collectlanguage,collectdates,weight,public,longitudinal,oldsurvid,popage,designeffect,marginerror,exclusion,nationalsurvey,resprate,founder,survecat,status,type,globbaro,active,progparent,oversampl,proglab,startyear,founder2,country
AFG201371,4201371,VOTP,Voice of the People,Afghanistan,AFG,Afghanistan,42013,AFG2013,2013,10,1,Southern Asia,2780,Asian Ancestry,Asian Ancestry,SEC Asian Ancestry,S Asian Ancestry,Asia,,Face To Face,,,,public,1,1,18+,,,,,,Member country after program founding,Social survey,,,0,1,Voice of the People,National,VOTP,2000,Member country after program founding,Afghanistan
ALB2012111,82012111,GWP,Gallup World Poll,Albania,ALB,Albania,82012,ALB2012,2012,7,1,Southern Europe,1029,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,Face To Face,Albanian,,,private,1,,,1.2,3.3,,,,Member country after program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Albania
ALB1992141,81992141,CEEB,Central & Eastern Eurobarometer,Albania,ALB,Albania,81992,ALB1992,1992,3,1,Southern Europe,1049,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,0,Global Barometer,,CEEB,1990,Member country after program founding,Albania
ALB2011111,82011111,GWP,Gallup World Poll,Albania,ALB,Albania,82011,ALB2011,2011,6,1,Southern Europe,1006,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,Face To Face,Albanian,,,private,1,,,1.58,3.9,,,,Member country after program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Albania
ALB2013111,82013111,GWP,Gallup World Poll,Albania,ALB,Albania,82013,ALB2013,2013,8,1,Southern Europe,1035,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,Face To Face,Albanian,,,private,1,,,1.55,3.8,,,,Member country after program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Albania
ALB2008111,82008111,GWP,Gallup World Poll,Albania,ALB,Albania,82008,ALB2008,2008,3,1,Southern Europe,1020,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,Face To Face,Albanian,,,private,1,,,1.37,3.6,Representative of age 18 and older,,,Member country after program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Albania
ALB1995141,81995141,CEEB,Central & Eastern Eurobarometer,Albania,ALB,Albania,81995,ALB1995,1995,6,1,Southern Europe,1003,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,0,Global Barometer,,CEEB,1990,Member country after program founding,Albania
ALB200671,8200671,VOTP,Voice of the People,Albania,ALB,Albania,82006,ALB2006,2006,5,1,Southern Europe,800,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,Face To Face,,,,public,1,1,.,,,,,,Member country after program founding,Social survey,,,0,1,Voice of the People,Urban,VOTP,2000,Member country after program founding,Albania
ALB1991141,81991141,CEEB,Central & Eastern Eurobarometer,Albania,ALB,Albania,81991,ALB1991,1991,2,1,Southern Europe,1000,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,0,Global Barometer,,CEEB,1990,Member country after program founding,Albania
ALB201411,8201411,EUROB,Eurobarometer,Albania,ALB,Albania,82014,ALB2014,2014,82,1,Southern Europe,1064,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,Eurobarometer,,EUROB,1970,Member country after program founding,Albania
ALB200820161,8200820161,DHS,Demographic and Health Surveys,Albania,ALB,Albania,82008,ALB2008,2008,,1,Southern Europe,,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Demographic & Health survey,Completed,Standard DHS,0,1,Demographic and Health Surveys,,DHS,1985,Member country after program founding,Albania
ALB1996141,81996141,CEEB,Central & Eastern Eurobarometer,Albania,ALB,Albania,81996,ALB1996,1996,7,1,Southern Europe,1013,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,0,Global Barometer,,CEEB,1990,Member country after program founding,Albania
ALB200971,8200971,VOTP,Voice of the People,Albania,ALB,Albania,82009,ALB2009,2009,7,1,Southern Europe,800,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,Face To Face,,,,public,1,2,.,,,,,,Member country after program founding,Social survey,,,0,1,Voice of the People,Urban,VOTP,2000,Member country after program founding,Albania
ALB200520021,8200520021,CSES,Comparative Study of Electoral Systems,Albania,ALB,Albania,82005,ALB2005,2005,2,1,Southern Europe,1116,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Political survey,,,0,1,Comparative Study of Electoral Systems,,CSES,2002,Member country after program founding,Albania
ALB2006111,82006111,GWP,Gallup World Poll,Albania,ALB,Albania,82006,ALB2006,2006,1,1,Southern Europe,981,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,Face To Face,Albanian,,,private,1,,,1.61,4,,,,Member country after program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Albania
ALB200231,8200231,WVS,World Values Survey,Albania,ALB,Albania,82002,ALB2002,2002,4,1,Southern Europe,1000,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,World Values Survey,,WVS,1981,Member country after program founding,Albania
ALB200821,8200821,EVS,European Values Study,Albania,ALB,Albania,82008,ALB2008,2008,4,1,Southern Europe,1534,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,,,,yes,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,World Values Survey,National / Integration / Cumulation,EVS,1981,Member country after program founding,Albania
ALB2009111,82009111,GWP,Gallup World Poll,Albania,ALB,Albania,82009,ALB2009,2009,4,1,Southern Europe,1000,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,Face To Face,Albanian,,,private,1,,,1.45,3.7,,,,Member country after program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Albania
ALB2014111,82014111,GWP,Gallup World Poll,Albania,ALB,Albania,82014,ALB2014,2014,9,1,Southern Europe,999,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,Face To Face,Albanian,,,private,1,,,1.26,3.5,,,,Member country after program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Albania
ALB2012101,82012101,ESS,European Social Survey,Albania,ALB,Albania,82012,ALB2012,2012,6,1,Southern Europe,1201,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,,,01.12.12-12.02.13,,public,1,,,,,,,78.59999999999999,Member country after program founding,Social survey,,,0,1,European Social Survey,,ESS,2002,Member country after program founding,Albania
ALB1993141,81993141,CEEB,Central & Eastern Eurobarometer,Albania,ALB,Albania,81993,ALB1993,1993,4,1,Southern Europe,1054,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,0,Global Barometer,,CEEB,1990,Member country after program founding,Albania
ALB2010111,82010111,GWP,Gallup World Poll,Albania,ALB,Albania,82010,ALB2010,2010,5,1,Southern Europe,1000,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,Face To Face,Albanian,,,private,1,,,1.7,4,,,,Member country after program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Albania
ALB200471,8200471,VOTP,Voice of the People,Albania,ALB,Albania,82004,ALB2004,2004,3,1,Southern Europe,500,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,Face To Face,,,,public,1,2,.,,,,,,Member country after program founding,Social survey,,,0,1,Voice of the People,Tirana conurbation,VOTP,2000,Member country after program founding,Albania
ALB1994141,81994141,CEEB,Central & Eastern Eurobarometer,Albania,ALB,Albania,81994,ALB1994,1994,5,1,Southern Europe,1034,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,0,Global Barometer,,CEEB,1990,Member country after program founding,Albania
ALB199831,8199831,WVS,World Values Survey,Albania,ALB,Albania,81998,ALB1998,1998,3,1,Southern Europe,999,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,World Values Survey,,WVS,1981,Member country after program founding,Albania
ALB200771,8200771,VOTP,Voice of the People,Albania,ALB,Albania,82007,ALB2007,2007,6,1,Southern Europe,1000,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,Face To Face,,,,public,1,1,.,,,,,,Member country after program founding,Social survey,,,0,1,Voice of the People,National,VOTP,2000,Member country after program founding,Albania
DZA2011112,122011112,GWP,Gallup World Poll,Algeria,DZA,Algeria,122011,DZA2011,2011,6,2,Northern Africa,1001,African Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,N Africa Ancestry,Africa,,Face To Face,Arabic,,,private,1,,,1.32,3.6,"Sparsely populated areas in the far South were excluded, representing approximately 10% of the population.",,,Member country at program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Algeria
DZA2013121,122013121,ARABB,Arabbarometer,Algeria,DZA,Algeria,122013,DZA2013,2013,3,1,Northern Africa,1220,African Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,N Africa Ancestry,Africa,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,1,1,Global Barometer,,ARABB,2006,Member country after program founding,Algeria
DZA2011111,122011111,GWP,Gallup World Poll,Algeria,DZA,Algeria,122011,DZA2011,2011,6,1,Northern Africa,1000,African Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,N Africa Ancestry,Africa,,Face To Face,Arabic,,,private,1,,,1.28,3.5,"Sparsely populated areas in the far South were excluded, representing approximately 10% of the population.",,,Member country at program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Algeria
DZA2006121,122006121,ARABB,Arabbarometer,Algeria,DZA,Algeria,122006,DZA2006,2006,1,1,Northern Africa,1300,African Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,N Africa Ancestry,Africa,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,1,1,Global Barometer,,ARABB,2006,Member country after program founding,Algeria
DZA2014311,122014311,EUNB,EU Neighbourhood Barometer,Algeria,DZA,Algeria,122014,DZA2014,2014,5,1,Northern Africa,1000,African Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,N Africa Ancestry,Africa,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,1,EU Neighbourhood Barometer,,EUNB,2012,Member country after program founding,Algeria
DZA2014312,122014312,EUNB,EU Neighbourhood Barometer,Algeria,DZA,Algeria,122014,DZA2014,2014,6,2,Northern Africa,984,African Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,N Africa Ancestry,Africa,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,1,EU Neighbourhood Barometer,,EUNB,2012,Member country after program founding,Algeria
DZA2013312,122013312,EUNB,EU Neighbourhood Barometer,Algeria,DZA,Algeria,122013,DZA2013,2013,3,2,Northern Africa,1000,African Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,N Africa Ancestry,Africa,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,1,EU Neighbourhood Barometer,,EUNB,2012,Member country after program founding,Algeria
DZA2012112,122012112,GWP,Gallup World Poll,Algeria,DZA,Algeria,122012,DZA2012,2012,7,2,Northern Africa,1022,African Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,N Africa Ancestry,Africa,,Face To Face,Arabic,,,private,1,,,1.37,3.6,"Sparsely populated areas in the far South were excluded, representing approximately 10% of the population.",,,Member country at program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Algeria
DZA2012311,122012311,EUNB,EU Neighbourhood Barometer,Algeria,DZA,Algeria,122012,DZA2012,2012,2,1,Northern Africa,1000,African Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,N Africa Ancestry,Africa,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,1,EU Neighbourhood Barometer,,EUNB,2012,Member country after program founding,Algeria
DZA201331,12201331,WVS,World Values Survey,Algeria,DZA,Algeria,122013,DZA2013,2013,6,1,Northern Africa,1200,African Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,N Africa Ancestry,Africa,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,World Values Survey,,WVS,1981,Member country after program founding,Algeria
DZA2010111,122010111,GWP,Gallup World Poll,Algeria,DZA,Algeria,122010,DZA2010,2010,5,1,Northern Africa,1000,African Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,N Africa Ancestry,Africa,,Face To Face,Arabic,,,private,1,,,1.29,3.5,"Sparsely populated areas in the far South were excluded, representing approximately 10% of the population.",,,Member country at program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Algeria
DZA201371,12201371,VOTP,Voice of the People,Algeria,DZA,Algeria,122013,DZA2013,2013,10,1,Northern Africa,1000,African Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,N Africa Ancestry,Africa,,Face To Face,,,,public,1,2,15+,,,,,,Member country at program founding,Social survey,,,0,1,Voice of the People,National,VOTP,2000,Member country after program founding,Algeria
DZA200231,12200231,WVS,World Values Survey,Algeria,DZA,Algeria,122002,DZA2002,2002,4,1,Northern Africa,1282,African Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,N Africa Ancestry,Africa,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,World Values Survey,,WVS,1981,Member country after program founding,Algeria
DZA2012312,122012312,EUNB,EU Neighbourhood Barometer,Algeria,DZA,Algeria,122012,DZA2012,2012,1,2,Northern Africa,1000,African Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,N Africa Ancestry,Africa,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,1,EU Neighbourhood Barometer,,EUNB,2012,Member country after program founding,Algeria
DZA2011121,122011121,ARABB,Arabbarometer,Algeria,DZA,Algeria,122011,DZA2011,2011,2,1,Northern Africa,1216,African Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,N Africa Ancestry,Africa,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,1,1,Global Barometer,,ARABB,2006,Member country after program founding,Algeria
DZA2012111,122012111,GWP,Gallup World Poll,Algeria,DZA,Algeria,122012,DZA2012,2012,7,1,Northern Africa,1005,African Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,N Africa Ancestry,Africa,,Face To Face,Arabic,,,private,1,,,1.35,3.6,"Sparsely populated areas in the far South were excluded, representing approximately 10% of the population.",,,Member country at program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Algeria
DZA2013311,122013311,EUNB,EU Neighbourhood Barometer,Algeria,DZA,Algeria,122013,DZA2013,2013,4,1,Northern Africa,1001,African Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,N Africa Ancestry,Africa,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,1,EU Neighbourhood Barometer,,EUNB,2012,Member country after program founding,Algeria
AND200531,20200531,WVS,World Values Survey,Andorra,AND,Andorra,202005,AND2005,2005,5,1,Southern Europe,1003,SE European Ancestry,SE European Ancestry,S European Ancestry,S European Ancestry,Europe,,,,,,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,World Values Survey,,WVS,1981,Member country after program founding,Andorra
AGO2011111,242011111,GWP,Gallup World Poll,Angola,AGO,Angola,242011,AGO2011,2011,6,1,Middle Africa,1000,African Ancestry,African Ancestry,S African Ancestry,S African Ancestry,Africa,,Face To Face,Portuguese,,,private,1,,,1.52,3.8,"Coverage includes all urban and rural provinces. However, some rural areas were excluded because of inaccessibility or dangerous conditions. The excluded area represents approximately 15% of the population.",,,Member country at program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Angola
AGO2014111,242014111,GWP,Gallup World Poll,Angola,AGO,Angola,242014,AGO2014,2014,9,1,Middle Africa,1000,African Ancestry,African Ancestry,S African Ancestry,S African Ancestry,Africa,,Face To Face,Portuguese,,,private,1,,,1.26,3.5,,,,Member country at program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Angola
AGO2012111,242012111,GWP,Gallup World Poll,Angola,AGO,Angola,242012,AGO2012,2012,7,1,Middle Africa,1000,African Ancestry,African Ancestry,S African Ancestry,S African Ancestry,Africa,,Face To Face,Portuguese,,,private,1,,,1.62,3.9,"Coverage includes all urban and rural provinces. However, some rural areas were excluded because of inaccessibility or dangerous conditions. The excluded area represents approximately 15% of the population.",,,Member country at program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Angola
AGO201520161,24201520161,DHS,Demographic and Health Surveys,Angola,AGO,Angola,242015,AGO2015,2015,,1,Middle Africa,,African Ancestry,African Ancestry,S African Ancestry,S African Ancestry,Africa,,,,,,public,1,,,,,,,,Member country after program founding,Demographic & Health survey,Ongoing,Standard DHS,0,1,Demographic and Health Surveys,,DHS,1985,Member country after program founding,Angola
AGO200291,24200291,PGA,Pew Global Attitudes Survey,Angola,AGO,Angola,242002,AGO2002,2002,1,1,Middle Africa,780,African Ancestry,African Ancestry,S African Ancestry,S African Ancestry,Africa,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,1,Pew Global Attitudes Survey,,PGA,2002,Member country after program founding,Angola
AGO2013111,242013111,GWP,Gallup World Poll,Angola,AGO,Angola,242013,AGO2013,2013,8,1,Middle Africa,1000,African Ancestry,African Ancestry,S African Ancestry,S African Ancestry,Africa,,Face To Face,"Portuguese, Umbundu",,,private,1,,,1.18,3.4,Stratification by geography began in 2013.,,,Member country at program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Angola
AZE201371,31201371,VOTP,Voice of the People,Azerbaijan,AZE,Azerbaijan,312013,AZE2013,2013,10,1,Western Asia,800,Asian Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,WC Asian Ancestry,Asia,,Face To Face,,,,public,1,7,20-64,,,,,,Member country at program founding,Social survey,,,0,1,Voice of the People,National,VOTP,2000,Member country after program founding,Azerbaijan
AZE2007111,312007111,GWP,Gallup World Poll,Azerbaijan,AZE,Azerbaijan,312007,AZE2007,2007,2,1,Western Asia,1000,Asian Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,WC Asian Ancestry,Asia,,Face To Face,"Azeri, Russian",,,private,1,,,1.24,3.5,Nagorno-Karabakh and territories not included for safety of interviewers. These areas represent less than 10% of the total population.,,,Member country at program founding,Social survey,,,0,1,Gallup World Poll,,GWP,2005,Member country after program founding,Azerbaijan
AZE201171,31201171,VOTP,Voice of the People,Azerbaijan,AZE,Azerbaijan,312011,AZE2011,2011,8,1,Western Asia,510,Asian Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,WC Asian Ancestry,Asia,,Face To Face,,,,public,1,6,.,,,,,,Member country at program founding,Social survey,,,0,1,Voice of the People,Urban,VOTP,2000,Member country after program founding,Azerbaijan
AZE200821,31200821,EVS,European Values Study,Azerbaijan,AZE,Azerbaijan,312008,AZE2008,2008,4,1,Western Asia,1505,Asian Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,WC Asian Ancestry,Asia,,,,,yes,public,1,,,,,,,,Member country after program founding,Social survey,,,0,1,World Values Survey,National / Integration / Cumulation,EVS,1981,Member country after program founding,Azerbaijan
AZE2008301,312008301,CAUCAB,Caucasus Barometer,Azerbaijan,AZE,Azerbaijan,312008,AZE2008,2008,1,1,Western Asia,1996,Asian Ancestry,CW Asia-N African Ancestry,W Asian-N African Ancestry,WC Asian Ancestry,Asia,,,,,,public,1,,,,,,,,Member country at program founding,Social survey,,,0,1,Caucasus Barometer,,CAUCAB,2008,Member country after program founding,Azerbaijan
